語,發音,漢字、原文,中文意思
ばっする,0,罰する,懲罰、處罰
はっせい,0,発生,發生、出現
はっそう,0,発想,主意、表現
はったつ,0,発達,進步、發展
ばったり,3,ばったり,突然倒下
バッテリー,0,battery,電池
はってん,0,発展,擴展、發展
はつでん,0,発電,發電
バット,1,bat,球棒
はつばい,0,発売,出售
はつびょう,0,発病,得病
はっぴょう,0,発表,發表、揭曉
はつみみ,0,初耳,初次聽到
はつめい,0,発明,發明
はて,2,果,結局、邊際
はで,0,派手,華美、鮮麗
はてる,2,果てる,完畢、終、做完
ばてる,2,ばてる,疲乏至極
パトカー,2,patrolcar,警察巡邏車
はな,0,鼻,鼻子
はな,2,花,花
はなし,3,話,說話、故事
はなしあい,0,話し合い,協商、談話
はなしあう,4,話し合う,對話、商量
はなしかける,5,話し掛ける,開人說話、向對方發話
はなしちゅう,0,話し中,說話中、電話通話中
はなす,2,話す,講、談話、告訴
はなす,2,離す/放す,隔開、放開
はなはだ,0,甚だ,非常
はなはだしい,5,甚だしい,很、非常的
はなばなしい,5,華々しい,華麗的
はなび,1,花火,焰火、煙火
はなびら,0,花弁,花瓣
はなみ,3,花見,賞花
はなやか,2,華やか,華麗、顯赫
はなよめ,2,花嫁,新娘
はなれる,3,離れる、放れる,分開、脫離
はね,0,羽、羽根,羽毛、翅膀
ばね,1,発条,發條、彈簧
はねる,2,跳ねる,跳躍
はは,1,母,母親、媽媽
はば,0,幅,寬度、餘地
パパ,1,papa,爸爸
ははおや,0,母親,母親、媽媽
はばむ,2,阻む,阻礙、阻擋
はぶく,2,省く,省略、節省
はへん,0,破片,碎片
はま,2,浜,海濱、沙灘
はまべ,3,浜辺,海濱
はまる,0,嵌る,吻合、陷入
はみがき,2,歯磨き,刷牙、牙膏
はめる,0,嵌める,安上、套上、使…陷、欺騙
ばめん,0,場面,場面、場地、情景、場景
はやい,2,早い,早
はやい,2,速い,快、快速、敏捷
はやくち,2,早口,說話快
はやし,0,林,樹林
はやす,2,生やす,留長、使…生長
はやめる,3,早める,加速
はやる,2,流行る,流行
はら,2,腹,肚子、想法
はら,1,原,原野、曠野
はらいこむ,0,払い込む,繳納、繳款
はらいもどす,5,払い戻す,退還
はらう,2,払う,拂、付款、擦、除去、揮
はらだつ,3,腹立つ,生氣
はらっぱ,1,原っぱ,空地
はらはら,1,はらはら,掉落、非常擔心
ばらまく,3,散撒く,撒播、散財
バランス,0,balance,平衡
はり,1,針,縫針
はりがね,0,針金,鋼絲、電線
はりがみ,0,張り紙,貼紙
はりきる,3,張り切る,拉緊、精神百倍
はる,0,貼る「切手をはる」,貼
はる,1,春,春天
はる,0,張る/貼る,伸展、膨張、緊張/貼
はるか,1,遥か,遙遠
はれ,2,晴れ,晴天、隆重
はれつ,0,破裂,破裂
はれる,2,晴れる,晴、出晴、雲散發
はれる,0,腫れる,腫脹
はん,1,半,一半、二分之一
はん,1,半,一半
はん,,反,反對
はん,1,判,印鑑、畫押
はん,1,版,版次、木版
はん,1,班,集團、組
バン,1,van,敞篷車、運貨車
ばん,0,晩,晚、晚上
ばん,,番,班、次序
ばん,1,番,看守、輪班
パン,1,pão,麵包
はんい,1,範囲,範圍、界限
はんえい,0,反映,反映
はんえい,0,繁栄,興旺、繁榮
はんが,0,版画,版畫、木刻
ハンガー,1,hanger,衣架
ハンカチ,0,handkerchief,手帕
はんかん,0,反感,反感
はんきょう,0,反響,反應、回音
パンク,,puncture/punk,爆胎/阿飛
ばんぐみ,4,番組,節目
はんけい,1,半径,半徑
はんげき,0,反撃,反擊
はんけつ,0,判決,判決
はんこ,3,判子,圖章、印鑑
はんこう,0,反抗,反抗、對抗
ばんごう,3,番号,號碼
ばんごはん,3,晩御飯,晚餐
はんざい,0,犯罪,犯罪
ばんざい,3,万歳,萬歲、太好了
ハンサム,1,handsome,美男子、英俊
はんじ,1,判事,審判官
はんしゃ,0,反射,反射
はんじょう,1,繁盛,繁榮昌盛
はんしょく,0,繁殖,繁殖
はんする,3,反する,違反
はんせい,0,反省,反省
はんたい,0,反対,相反、反對
はんだん,1,判断,判斷
ばんち,0,番地,門牌號碼、住址
パンツ,1,pants「下着」,內褲
はんてい,0,判定,判定
バンド,0,band「ベルト」,(皮)帶［樂團］
はんとう,0,半島,半島、朝鮮
ハンドバッグ,4,handbag,手提包
ハンドル,0,handle,方向盤、把手
はんにん,1,犯人,犯人
ばんにん,0,万人,所有人、萬人
ばんねん,0,晩年,晚年、暮年
はんのう,0,反応,反應
ばんのう,0,万能,萬能、全能
はんぱ,0,半端,零頭、不徹底
ハンバーグ,3,Hamburgsteak,漢堡(肉)
はんばい,0,販売,販賣
はんぱつ,0,反発,排斥、不接受
はんぶん,3,半分,一半、二分之一
ばんめ,,番目,物品或演出的順序
はんらん,0,反乱,叛亂、反叛
はんらん,0,氾濫,氾濫
ひ,0,日,太陽、天數、白天
ひ,1,火、灯,火、燈、光
ひ,1,非,錯誤、不對
ひ,,費,費用
ひ,0,碑,石碑
ひ,,被,被害、被動（行為表現的漢字）
び,1,美,美麗、美好
ひあたり,0,日当たり,向陽處
ピアノ,0,piano,鋼琴
ひいては,1,延いては,進而、甚至
ビール,1,bier,啤酒
ビールス,1,virus,病毒、濾過性病原體
ひえる,2,冷える,變冷、感覺冷
ひがい,1,被害,受害
ひかえしつ,3,控室,等候室、休息室
ひがえり,0,日帰り,當天來回
ひかえる,2,控える,克制、等候、記錄
ひかく,0,比較,比較
ひかくてき,0,比較的,比較
ひかげ,0,日陰,陰涼地方
ひがし,3,東,東方
ぴかぴか,0,ぴかぴか,閃亮亮、光潔
ひかり,3,光,光亮、光明
ひかる,2,光る,發光、出眾
ひかん,0,悲観,悲觀
ひき,,匹,隻、〜尾
ひきあげる,4,引き上げる,吊起、提高、返回
ひきいる,3,率いる,帶領、率領
ひきうける,4,引き受ける,承擔、照顧、繼承
ひきおこす,4,引き起こす,引起、扶起
ひきかえす,3,引き返す,返回、折回
ひきさげる,4,引き下げる,降低、使退後
ひきざん,2,引き算,減法
ひきずる,0,引き摺る,拖、強拉硬拖
ひきだし,0,引き出し,抽出、抽屜
ひきだす,3,引き出す,抽出、提出
ひきとめる,4,引き止める,留、制止
ひきとる,3,引き取る,退出、取回
ひきょう,2,卑怯,懦弱、無恥
ひきわけ,0,引分,平手、不分勝負
ひく,0,引く,拉、拔、減去、查、遺傳
ひく,0,弾く,彈奏
ひく,0,轢く,壓
ひくい,2,低い,低的、低微的、矮的
ピクニック,1,picnic,野餐
ひげ,0,髭,鬍鬚、鬍子
ひげき,1,悲劇,悲劇
ひけつ,0,否決,否決
ひこう,0,飛行,飛行、航空
ひこう,0,非行,不正當的行為
ひこうき,2,飛行機,飛機
ひこうじょう,0,飛行場,飛機埸
ひごろ,0,日頃,平常
ひざ,0,膝,膝
ひざし,0,陽射し,陽光照射
ひさしい,3,久しい,好久的
ひさしぶり,0,久しぶり,好久不見
ひさん,0,悲惨,悲慘
ひじ,2,肘,肘
ビジネス,1,business,生意、商業、業務
ひじゅう,0,比重,比例
びじゅつ,1,美術,美術
びじゅつかん,3,美術館,美術館
ひしょ,1,秘書,秘書
ひじょう,0,非常,緊急
びしょう,0,微笑,微笑
ひじょうに,0,非常に,非常、特別
びじん,1,美人,美人
ピストル,0,pistol,手槍
ひずむ,0,歪む,扭曲、歪曲
ひそか,1,密か,悄悄地、秘密地
ひたい,0,額,額
ひたす,0,浸す,浸泡、沉浸
ひたすら,0,只管,只顧
ビタミン,2,Vitamin,維他命
ひだり,0,左,左、左邊
ぴたり,2,ぴたり,突然停止、緊緊、恰當
ひだりきき,0,左利き,左撇子
ひっかかる,4,引っ掛かる,掛上
ひっかく,3,引っ掻く,搔抓
ひっかける,4,引っ掛ける,掛起來
ひっき,0,筆記,筆記
ひっくりかえす,5,引っ繰り返す,弄倒
ひっくりかえる,5,引っ繰り返る,翻倒
びっくりする,3,吃驚する,吃驚、嚇一跳
ひづけ,0,日付,日期
ひっこし,0,引越し,搬家
ひっこす,3,引っ越す,搬家、遷居
ひっこむ,3,引っ込む,隱退
ひっし,0,必死,拼命
ひっしゃ,1,筆者,筆者
ひっしゅう,0,必修,必修
ひつじゅひん,0,必需品,必需品
びっしょり,3,びっしょり,溼透
ひつぜん,0,必然,必然
ぴったり,3,ぴったり,正適合、緊緊
ひってき,0,匹敵,比得上
ひっぱる,3,引っ張る,拉、引進、引誘
ひつよう,0,必要,必要、必需
ひてい,0,否定,否定
ビデオ,1,video,錄影機、錄影帶、攝影機
ひと,0,人,人
ひと,0,一,一個、某
ひどい,2,酷い,無情、殘酷的、厳重、極差
ひといき,2,一息,一口氣
ひとかげ,0,人影,人影
ひとがら,0,人柄,人品
ひとけ,0,人気,人的氣息
ひとこと,2,一言,一句話
ひとごみ,0,人込み,人群
ひところ,2,一頃,前些日子
ひとさしゆび,4,人差し指,食指
ひとしい,3,等しい,相等的
ひとじち,0,人質,人質
ひとすじ,2,一筋,一心一意
ひとつ,2,一つ,一個、一歲、一方面
ひとつき,2,一月,一個月
ひととおり,0,一通り,大概、一種類
ひとどおり,0,人通り,人來人往
ひとまず,2,一先ず,姑且
ひとみ,0,瞳,眼珠子
ひとめ,0,人目,眾目
ひとやすみ,2,一休み,休息片刻
ひとり,2,一人,一個人、一名
ひとり,2,独り,獨自
ひどり,0,日取り,日程
ひとりごと,0,独り言,自言自語
ひとりでに,0,独りでに,自行
ひとりひとり,5,一人一人,每個人
ひとりびとり,4,一人一人,每個人
ひな,1,雛,雛鳥
ひなた,0,日向,向陽處
ひなまつり,3,雛祭り,女兒節、桃花節
ひなん,1,非難,責備
ひなん,1,避難,避難
ビニール,2,vinyl,乙烯樹脂、塑料袋
ひにく,0,皮肉,皮和肉、諷刺
ひにち,0,日日,日數、日期
ひねる,2,捻る,扭轉、打敗
ひのいり,0,日の入り,日暮、黃昏
ひので,0,日の出,日出
ひのまる,0,日の丸,太陽形、日本國旗
ひばな,1,火花,火星、火花
ひはん,0,批判,批判、批評
ひび,2,皹「かべの〜」,凍裂
ひびき,3,響き,響聲、影響
ひびく,2,響く,發出聲音、影響
ひひょう,0,批評,批評、評論
ひふ,1,皮膚,皮膚
ひま,0,暇,閒暇、餘暇
ひみつ,0,秘密,秘密、機密
びみょう,0,微妙,微妙
ひめい,0,悲鳴,悲鳴、驚叫聲
ひも,0,紐,細繩
ひやかす,3,冷やかす,冷卻、嘲弄
ひゃく,2,百,一百
ひやけ,0,日焼け,曬黑、曬乾
ひやす,2,冷やす,使冷靜
ひゃっかじてん,4,百科辞典、百科事典,百科辭典
ひょう,0,表,表格
ひょう,0,票,投票時所使用的紙張
ひよう,1,費用,經費、費用
びょう,1,病,病
びょう,1,秒,（時間的單位）秒數
びよう,0,美容,美容
びょういん,0,病院,醫院
ひょうか,1,評価,價值的評斷
びょうき,0,病気,生病
ひょうげん,3,表現,表現、表達
ひょうご,0,標語,標語
ひょうし,0,表紙,封面
ひょうしき,0,標識,道路指示、標記
びょうしゃ,0,描写,描冩
ひょうじゅん,0,標準,平均、均等、普通
ひょうじょう,3,表情,表情
びょうどう,0,平等,無差別、無分別
ひょうばん,0,評判,經由批評所做出的判斷
ひょうほん,0,標本,標本
ひょうめん,3,表面,物體最外層的部份
ひょうろん,0,評論,評論、批評、討論
ひょっと,0,ひょっと,也許、說不定
びら,0,びら,廣告、傳單
ひらがな,0,平仮名,平假名
ひらく,2,開く,開放、打開
ひらたい,0,平たい,扁平的、淺顯易懂的
びり,1,びり,最下位(者)
ひりつ,0,比率,比率
ひりょう,1,肥料,肥料
びりょう,0,微量,極少的份量
ひる,2,昼,中午
ビル,1,building,大廈
ひるごはん,3,昼御飯,中餐
ビルディング,1,building,大廈
ひるね,0,昼寝,午睡
ひるま,3,昼間,白天
ひるめし,0,昼飯,午飯
ひるやすみ,3,昼休み,午休
ひれい,0,比例,比例
ひろい,2,広い,寬闊、寬廣、廣泛
ひろう,0,拾う,撿
ひろう,0,疲労,疲累的
ひろう,1,披露,披露、公布、發表
ひろがる,0,広がる,擴大、展寬
ひろげる,0,広げる,打開、擴展、擺開
ひろさ,0,広さ,範圍、寬度、幅度
ひろば,1,広場,廣場
ひろびろ,3,広々,非常寬廣的
ひろまる,0,広まる,擴大、流傳
ひろめる,3,広める,範圍寬廣
ひん,0,品,品格、風格
びん,1,便,運送貨物或信件等等
びん,1,瓶,瓶子
ピン,1,pin,別針
びんかん,0,敏感,感覺靈敏
ピンク,1,pink,粉紅色、色情
ひんけつ,0,貧血,貧血
ひんこん,0,貧困,貧窮、貧困、貧乏
ひんしつ,0,品質,物品的價值
ひんじゃく,0,貧弱,貧窮且虛弱
ひんしゅ,0,品種,物品的種類
びんせん,0,便箋,書籤
びんづめ,0,瓶詰め,瓶裝
ヒント,1,hint,啟發、提示
ひんぱん,0,頻繁,常常、時常
びんぼう,1,貧乏,貧窮、貧困、生活不容易
ぶ,0,分,形勢、程度
ぶ,0,部,部、部門
ぶ,,部,份
ふ/ぶ,,不、無,沒有、無、不
ファイト,0,fight,加油、格鬥
ファイル,1,file,資料夾
ファスナー,1,fastener,拉鏈
ファン,1,fan,迷、愛好者、風扇、換氣扇
ふあん,0,不安,擔心、心情緊張
ふい,0,不意,突然、預想不到
フィルター,0,filter,過濾器、濾鏡
フィルム,1,film,底片、薄膜、電影
フイルム,0,film,底片、薄膜、電影
ふう,,風,地方風俗、風格、方法、做法、狀態
ふう,1,封,封、封口
ふうけい,1,風景,在當場的情景、眼前的景色
ふうさ,0,封鎖,封鎖、凍結
ふうしゃ,0,風車,風車
ふうしゅう,0,風習,風俗習慣
ふうせん,0,風船,氣球
ふうぞく,1,風俗,日常生活中的做為
ブーツ,1,boots,靴子
ふうど,1,風土,土地的狀態
ふうとう,0,封筒,信封
ふうふ,1,夫婦,夫妻
ブーム,1,boom,風潮、流行
プール,1,pool,游泳池
ふうん,1,不運,運氣不好
ふえ,0,笛,笛、横笛
フェリー,1,ferryboat,輪渡、貨櫃船的簡稱
ふえる,2,増える,增加
フォーク,1,fork,叉子
フォーム,1,form,形式、格式、樣子
ふか,1,不可,不可、不行、不及格
ぶか,1,部下,部下、下屬
ふかい,2,深い,深、濃
ふかけつ,2,不可欠,必須、不可缺少
ぶかぶか,0,ぶかぶか,寬鬆的、肥大的
ふかまる,3,深まる,變深了
ふかめる,3,深める,想法很深
ぶき,1,武器,武器、有力的手段
ふきそく,2,不規則,不規則
ふきつ,0,不吉,不吉利的象徵
ふきゅう,0,普及,普及、普遍
ふきょう,0,不況,景氣不好
ふきん,1,付近,附近
ふきん,2,布巾,擦食器的布
ふく,1,吹く,吹
ふく,2,服,衣服
ふく,0,拭く,擦拭
ふく,2,副,副
ふく,2,福,幸運、福氣
ふくごう,0,複合,複合、合成
ふくざつ,0,複雑,複雜、不簡易、不單純
ふくし,0,副詞,副詞
ふくし,0,福祉,福利、福祉
ふくしゃ,0,複写,複製、復印
ふくしゅう,0,復習,復習
ふくすう,3,複数,兩個以上的數目
ふくそう,0,服装,服裝
ふくむ,2,含む,包含
ふくめる,3,含める,包含、包括
ふくめん,0,覆面,遮面、匿名
ふくらます,0,膨らます,使其膨漲
ふくらむ,0,膨らむ,膨張、計劃規模很大
ふくれる,0,膨れる,脹、腫
ふくろ,3,袋,袋子
ふけいき,2,不景気,不景氣
ふけつ,0,不潔,不乾淨
ふける,2,更ける,深夜
ふける,2,老ける,上了年紀
ふける,2,耽る,沉迷、熱中
ふこう,2,不幸,不幸
ふごう,0,符号,符號
ふごう,0,富豪,富豪
ふこく,0,布告,佈告
ブザー,1,buzzer,蜂鳴器
ふさい,1,夫妻,夫妻
ふさい,0,負債,負債
ふざい,0,不在,不在(家)
ふさがる,0,塞がる,關、閉
ふさぐ,0,塞ぐ,鬱悶
ふざける,0,巫山戯る,堵塞
ぶさた,0,無沙汰,好久不見
ふさわしい,4,相応しい,適合
ふし,2,節,關節
ぶし,1,武士,武士
ぶじ,0,無事,平安
ふしぎ,0,不思議,難以想像
ぶしゅ,1,部首,部首
ふじゆう,1,不自由,不如意
ふじゅん,0,不順,不正常
ふしょう,0,負傷,受傷
ぶじょく,0,侮辱,侮辱
ふしん,0,不振,不興旺
ふしん,0,不審,懷疑
ふじん,0,夫人,夫人
ふじん,0,婦人,婦女
ふすま,0,襖,日式拉門、隔扇
ふせい,0,不正,不正、不正
ふせぐ,2,防ぐ,防禦
ぶそう,0,武装,武裝
ふそく,0,不足,缺少、不足
ふぞく,0,付属,附屬
ふた,0,蓋,蓋子
ふだ,0,札,門票
ぶたい,1,舞台,舞台
ふたご,0,双子,雙胞胎
ふたたび,0,再び,再、又、再次
ふたつ,3,二つ,兩個
ぶたにく,0,豚肉,豬肉
ふたり,3,二人,兩個人
ふたん,0,負担,負擔
ふだん,1,普段,平時、平素
ふち,2,縁,邊緣
ふちょう,0,不調,不順利
ぶちょう,0,部長,経理、主任
ぶつ,1,打つ,打、敲
ぶつ,,物,東西
ふつう,0,普通,普通
ふつう,0,不通,不通、沒音信
ふつか,0,二日,兩天、二號、二日
ぶっか,0,物価,物價
ふっかつ,0,復活,恢復
ぶつかる,0,打つかる,撞、碰
ぶつぎ,1,物議,眾人的說法
ふっきゅう,0,復旧,恢復原狀
ぶつける,0,打つける,扔、打中
ふっこう,0,復興,復興
ぶっし,1,物資,物資
ぶっしつ,0,物質,物質
ぶっそう,3,物騒,騷動不安
ぶつぞう,0,仏像,佛像
ぶったい,0,物体,物體
ふっとう,0,沸騰,沸騰
ぶつぶつ,1,ぶつぶつ,小聲嘟噥、牢騒、顆粒狀物
ぶつり,1,物理,物理
ふで,0,筆,毛筆
ふと,0,ふと,突然、不經意地
ふとい,2,太い,粗、肥
ふとう,0,不当,不當
ぶどう,0,葡萄,葡萄
ふどうさん,2,不動産,不動產
ふとる,2,太る,肥胖
ふとん,0,布団,墊被、被子
ふなびん,0,船便,船運、海運
ぶなん,0,無難,穩當、無可挑剔
ふにん,0,赴任,上任
ふね,1,舟、船,船、舟
ふはい,0,腐敗,腐壞
ふひょう,0,不評,評論不好
ぶひん,0,部品,零件
ふぶき,1,吹雪,暴風雪
ふふく,0,不服,不滿意
ぶぶん,1,部分,部份
ふへい,0,不平,不滿
ふへん,0,普遍,普通、共性、普及
ふべん,1,不便,不方便
ふぼ,1,父母,雙親
ふまえる,2,踏まえる,立足於、基於
ふまん,0,不満,不滿意
ふみきり,0,踏切,平交道
ふみこむ,3,踏み込む,闖入
ふむ,0,踏む,踏、踩
ふめい,0,不明,不清楚、不明
ふもと,3,麓,山腳下
ぶもん,1,部門,部門
ふやす,2,増やす、殖やす,增加、繁殖
ふゆ,2,冬,冬天
ふよう,0,扶養,扶養
フライパン,0,frypan,(長柄)平底鍋
ブラウス,2,blouse,女襯衫、罩衫
ぶらさげる,0,ぶら下げる,懸掛
ブラシ,0,brush,刷子
プラス,0,plus,加法、優點、正面
プラスチック,4,plastics,塑膠
プラットホーム,5,platform,月台、平台
ふらふら,1,ふらふら,蹓達、晃晃悠悠、迷迷糊糊、猶猶豫豫
ぶらぶら,1,ぶらぶら,搖晃、鎦躂、閒賦
プラン,1,plan,計畫、設計圖
ふり,1,不利,不利
ふり,0,振り,姿態、假裝
ぶり,,振り,相隔、狀態
フリー,2,free,自由、免費
ふりかえる,3,振り返る,回頭看、回顧
ふりがな,0,振り仮名,假名注音
ふりだし,0,振り出し,出發點
ふりむく,3,振り向く,回頭
ふりょう,0,不良,(品質)不好、(品質)壞
ふりょく,1,浮力,浮力
ぶりょく,1,武力,武力
プリント,0,print,印刷(物)、列印
ふる,1,降る,下、降
ふる,0,古,舊東西
ふる,0,振る,揮、招、搖、擺、撒
ふるい,2,古い,舊、老、以往、古老、年久
ブルー,2,blue,青色、憂鬱
ふるえる,0,震える,顫動、發抖
ふるさと,2,故郷、郷里,故鄉、老家
ふるまう,3,振舞う,行動、動作、款待
ふるわせる,0,震わせる,震動、震撼
ぶれい,1,無礼,沒有禮貌
ブレーキ,2,brake,剎車、制動裝置、車閘
プレゼント,2,present,禮物、送
ふれる,0,触れる,接觸、觸及
ふろ,1,風呂,浴缸、浴室
プロ,1,professional/production,內行(人)、專業/制作公司
ブローチ,2,broach,胸針、別針
ふろく,0,付録,附錄
プログラム,3,program,節目單、計畫表、程式
ふろしき,0,風呂敷,包袱
フロント,0,front,正面、服務台
ふわふわ,1,ふわふわ,輕飄飄
ふん,,分,分
ぶん,1,分,部分、程度
ぶん,1,文,文章、論文
ふんいき,3,雰囲気,氣氛
ふんか,0,噴火,噴火
ぶんか,1,文化,文化
ふんがい,0,憤慨,氣憤、憤概
ぶんかい,0,分解,拆卸、分析
ぶんがく,1,文学,文學
ぶんかざい,3,文化財,文物、文化遺產
ぶんぎょう,0,分業,分工
ぶんげい,0,文芸,文藝
ぶんけん,0,文献,文獻、參考資料
ぶんご,0,文語,書面語
ぶんさん,0,分散,分散、散開
ぶんし,1,分子,分子
ふんしつ,0,紛失,遺失、失落、丟失
ふんしゅつ,0,噴出,噴出、射出
ぶんしょ,1,文書,文書、公文、文件
ぶんしょう,1,文章,文章
ふんすい,0,噴水,噴泉、噴水池
ぶんすう,3,分数,分數
ぶんせき,0,分析,分析、剖析
ふんそう,0,紛争,糾紛、爭端
ぶんたい,0,文体,文體、風格
ふんだん,0,ふんだん,充裕、大量
ぶんたん,0,分担,分擔
ふんとう,0,奮闘,奮戰、奮鬥
ぶんぱい,0,分配,分配
ぶんぷ,0,分布,分布
ぶんぼ,1,分母,分母
ぶんぽう,0,文法,文法
ぶんぼうぐ,3,文房具,文具
ふんまつ,0,粉末,粉末
ぶんみゃく,0,文脈,前後文的邏輯性、文理、場面
ぶんめい,0,文明,文明、物質文化
ぶんや,1,分野,領域、範圍
ぶんり,0,分離,分離
ぶんりょう,3,分量,數量、分量
ぶんるい,0,分類,分類
ぶんれつ,0,分裂,分裂、裂開
ペア,1,pair,一對
へい,0,塀,圍牆、牆強
へいかい,0,閉会,閉會
へいき,0,平気,冷靜、不在乎
へいき,1,兵器,兵器、武器
へいきん,0,平均,平均
へいこう,0,平行,平行、並行
へいこう,0,並行,並行、並進
へいこう,0,閉口,啞口無言、為難、吃不消
へいさ,0,閉鎖,關閉、封閉
へいし,1,兵士,士兵、戰士
へいじつ,0,平日,平常、平日
へいじょう,0,平常,平常、普通
へいたい,0,兵隊,兵隊
へいほう,0,平方,平方
へいぼん,0,平凡,平凡、通俗
へいや,0,平野,平原
へいれつ,0,並列,並排、並列
へいわ,0,平和,和平、和睦
ページ,0,page,頁、頁數
ベース,0,base,基礎、低音
へきえき,0,辟易,畏縮、退縮
ぺこぺこ,,ぺこぺこ,餓、空/點頭哈腰、諂媚
へこむ,0,凹む,凹下、陷下
ベスト,1,best/vest,最佳/背心
ベストセラー,4,best-seller,暢銷書
へそ,0,へそ,肚臍
へた,2,下手,笨拙、不高明
へだたる,3,隔たる,相隔、離
へだてる,3,隔てる,隔開、分開、間隔
べつ,0,別,區別、分別
べっきょ,0,別居,分居
べっそう,3,別荘,別墅
ベッド,1,bed,床
ペット,1,pet,寵物
べつに,0,別に,特別
べつべつ,0,別々,分別、各別、各自
ベテラン,0,veteran,老手
へや,2,部屋,房間
へらす,0,減らす,減少
へり,2,縁,邊緣
へりくだる,0,謙る,謙遜、卑遜
ヘリコプター,3,helicopter,直昇機
へる,0,減る「腹が〜」,餓
へる,0,減る,減少
へる,1,経る,經過、通過
ベル,1,bell,鈴、門鈴、電鈴
ベルト,0,belt,(皮)帶
へん,0,辺,邊、周圍
へん,1,変,反常、奇怪
へん,,遍,次、回、遍
へん,,編,編輯
べん,1,便「交通の〜」,方便、便利
ペン,1,pen,鋼筆、筆桿子
へんか,1,変化,變化
べんかい,0,弁解,辨解、辦明
へんかく,0,変革,改革、變革
へんかん,0,返還,歸還
べんぎ,1,便宜,方便、權宜
ペンキ,0,pek,油漆、塗料
へんきゃく,0,返却,還、歸還
べんきょう（する）,0,勉強（する）,學習、用功
へんけん,0,偏見,偏見、偏執
べんご,1,弁護,辨解
へんこう,0,変更,變更、更改
へんさい,0,返済,還、還清
へんじ（する）,3,返事（する）,回答、回覆
へんしゅう,0,編集,編輯
べんじょ,3,便所,廁所
べんしょう,0,弁償,賠償
へんせん,0,変遷,變遷
ベンチ,1,bench,板凳、長凳
ペンチ,1,pinchers,鉗子
へんとう,0,返答,回答、答覆
へんどう,0,変動,變動、改變
べんとう,3,弁当,便當
べんり,1,便利,方便、方便
べんろん,0,弁論,辯論
ほ,,歩,步、走
ほ,1,穂,穗、尖端
ぽい,,ぽい,表具有某種傾向的意思
ほいく,0,保育,保育、育兒
ボイコット,3,boycott,聯合抵制
ポイント,0,point,(重)點
ほう,1,方「〜より〜の方が」,這一方面
ほう,0,法,法則、法律、道理、禮節
ほう,1,方,方向、方形、方面
ぼう,0,棒,棒子
ぼう,,防,防
ほうあん,0,法案,法律草案、法案
ぼうえい,0,防衛,防衛、保衛
ぼうえき,0,貿易,貿易
ぼうえんきょう,0,望遠鏡,望遠鏡
ぼうか,0,防火,防火
ほうかい,0,崩壊,崩潰
ぼうがい,0,妨害,妨害、防礙
ほうがく,0,方角,方向、方位
ほうがく,1,法学,法學、法律學
ほうき,0,箒,掃帚
ほうき,1,放棄,放棄
ほうけん,0,封建,封建
ほうげん,3,方言,方言
ぼうけん,0,冒険,冒險
ほうこう,0,方向,方向
ほうこく,0,報告,報告
ほうさく,0,方策,方策
ほうさく,0,豊作,豐收
ぼうさん,0,坊さん,和尚
ほうし,0,奉仕,服務、奉獻
ぼうし,0,帽子,帽子
ぼうし,0,防止,防止
ほうしき,0,方式,方式、手續
ほうしゃ,0,放射,放射
ほうしゃのう,3,放射能,放射能
ほうしゅう,0,報酬,報酬、工資
ほうしゅつ,0,放出,放出、發放、處理
ほうじる/ずる,0,報じる/報ずる,報告、報導、報復
ほうしん,0,方針,方針、磁針
ほうせき,0,宝石,寶石
ぼうせき,0,紡績,紡紗
ぼうぜん,0,呆然、茫然,呆然、茫然
ほうそう,0,放送,廣播
ほうそう,0,包装,包裝
ほうそく,0,法則,法則、規律、定律
ほうたい,0,包帯,繃帶、紗布
ぼうだい,0,膨大,膨脹、膨腫
ほうち,0,放置,放置、置之不理
ほうちょう,0,包丁,菜刀、廚師、烹調
ぼうちょう,0,膨張,膨脹、擴大、增加
ほうてい,0,法廷,法庭
ほうていしき,3,方程式,方程式
ほうどう,0,報道,報導
ぼうとう,0,冒頭,冒頭、開頭
ぼうどう,0,暴動,暴動
ぼうはん,0,防犯,防止犯罪
ほうび,0,褒美,獎勵、獎品
ほうふ,0,豊富,豐富
ぼうふう,3,暴風,暴風
ほうほう,0,方法,方法、辦法
ほうぼう,1,方々,各方、到處
ほうむる,3,葬る,埋葬、棄而不顧
ほうめん,3,方面,方面、部門
ほうもん,0,訪問,訪問、拜訪
ぼうや,1,坊や,對男孩子的愛稱
ほうりこむ,4,放り込む,投進、扔進
ほうりだす,4,放り出す,扔出去、丟開、開除
ほうりつ,0,法律,法律
ぼうりょく,1,暴力,武力、暴力
ほうる,0,放る,扔、放棄
ほうわ,0,飽和,飽和
ほえる,2,吠える,吠、叫、咆哮
ボーイ,0,boy,男服務生
ホース,1,hoos,軟管
ポーズ,1,pose/pause,姿勢、暫停
ボート,1,boat,船、小艇
ボーナス,1,bonus,紅利、獎金
ホーム,1,home,家、本壘
ホール,1,hall/hole,大廳、集會場/孔、穴
ボール,0,ball/bowl,球/碗
ボールペン,0,ballpen,原子筆
ほおん,0,保温,保溫
ほか,0,外,另外、其他、外部、別處
ほか,0,他,另外、其他、外部、別處
ほかく,0,捕獲,捕獲
ほがらか,2,朗らか,（天氣）晴朗、（心情）舒暢
ほかん,0,保管,保管
ほきゅう,0,補給,補充、供應
ほきょう,0,補強,補強、增強、加強
